Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
02/18/2025,01:39:44 PM,Aaron #1,6554,1.750,,,,,,,,,,6.84,125.14,29.93,98.19,24.2
02/18/2025,01:50:30 PM,Aaron #1,6554,1.750,1153,,,123.4,,,6625,Producing,18.2,,,,,
03/12/2025,12:58:38 PM,Beeler #16 RE,5394,1.500,,,,,,,,,,5.79,150.23,139.21,140.53,135.1
03/12/2025,01:22:19 PM,Beeler #16 RE,5394,1.500,1068,,,377.3,367,957,4437,Producing,16.0,,,,,
03/12/2025,01:32:41 PM,Beeler #17,7281,1.250,,,,,,,,,,5.79,58.54,41.81,43.22,29.0
03/12/2025,01:52:53 PM,Beeler #17,7281,1.250,1133,,,143.7,313,1367,5638,Producing,39.5,,,,,
02/24/2025,11:48:05 AM,Bruce Weaver #2 RE,6368,1.500,1049,,,155.6,162,237,6053,Producing,20.1,,,,,
02/24/2025,01:59:26 PM,Burns Ranch #2,6510,1.250,,,,,,,,,,5.75,126.70,35.48,118.29,13.2
02/24/2025,02:17:44 PM,Burns Ranch #2,6510,1.250,1115,,,76.1,151,495,5926,Producing,49.2,,,,,
02/18/2025,03:12:31 PM,Cannan #1,6391,1.250,,,,,,,,,,4.94,110.69,90.62,104.04,79.2
02/18/2025,03:30:39 PM,Cannan #1,6391,1.250,998,,,549.4,378,498,5426,Producing,-10.8,,,,,
03/11/2025,02:31:47 PM,Chad #1,7038,1.250,1060,,,145.9,131,187,6780,Producing,10.9,,,,,
01/27/2025,10:03:59 AM,CMWW #1,6514,1.250,,,,,,,,,,6.89,100.80,29.84,92.70,11.3
01/27/2025,10:15:16 AM,CMWW #1,6514,1.250,1145,,,,0,0,6670,Static,61.3,,,,,
01/27/2025,11:08:14 AM,CT #1,6039,1.250,,,,,,,,,,5.22,123.91,28.09,117.95,19.5
01/27/2025,11:22:53 AM,CT #1,6039,1.250,1135,,,70.5,43,206,5833,Producing,41.4,,,,,
02/27/2025,11:02:33 AM,Dale#1,7187,1.250,,,,,,,,,,6.49,70.08,50.16,72.79,0.1
02/27/2025,11:02:33 AM,
02/27/2025,11:15:57 AM,
02/27/2025,11:15:57 AM,Dale#1,7187,1.250,1097,,,,176,176,6346,Static,-7.4,,,,,
03/11/2025,10:52:28 AM,Fatheree #1,6452,1.250,,,,,,,,,,5.72,98.61,81.82,87.71,73.0
03/11/2025,11:07:47 AM,Fatheree #1,6452,1.250,1099,,,75.6,71,286,6027,Producing,16.1,,,,,
02/27/2025,10:08:26 AM,JBeeler #1,6332,1.750,,,,,,,,,,7.17,113.26,65.03,92.06,59.4
02/27/2025,10:20:12 AM,JBeeler #1,6332,1.750,1206,,,260.1,334,1358,4974,Producing,38.7,,,,,
02/17/2025,12:46:57 PM,JJ #1,6498,1.500,,,,,,,,,,5.62,143.64,118.79,123.38,114.9
02/17/2025,01:00:10 PM,JJ #1,6498,1.500,1271,,,290.1,365,1306,5191,Producing,38.8,,,,,
02/25/2025,02:23:19 PM,Kay#1,6043,1.250,,,,,,,,,,5.01,70.64,42.44,64.64,31.1
02/25/2025,02:38:18 PM,Kay#1,6043,1.250,1122,,,258.2,66,293,5750,Producing,22.0,,,,,
03/10/2025,08:53:33 AM,La Rosita #1 RE,5847,1.250,,,,,,,,,,6.63,121.29,30.85,117.91,24.0
03/10/2025,09:16:43 AM,La Rosita #1 RE,5847,1.250,891,,,660.2,1237,1747,4067,Producing,9.2,,,,,
02/04/2025,01:58:30 PM,Little 179 #1,6055,1.250,1016,,,477.5,986,1486,4451,Producing,-33.7,,,,,
02/04/2025,02:02:44 PM,Little 179 #1,6055,1.250,,,,,,,,,,6.32,121.06,35.42,123.42,0.1
03/11/2025,02:49:25 PM,Marguerite #1,6188,1.060,,,,,,,,,,5.46,84.90,13.23,83.52,-2.9
03/11/2025,03:06:32 PM,Marguerite #1,6188,1.060,1026,,,206.1,370,501,5627,Producing,24.4,,,,,
03/10/2025,02:00:27 PM,MDB #1,6390,1.250,,,,,,,,,,5.09,125.29,55.57,120.61,47.3
03/10/2025,02:17:57 PM,MDB #1,6390,1.250,943,,,-16.0,2,2,6354,Producing,11.5,,,,,
02/17/2025,02:20:10 PM,Pfeiffer-Byrd #1,6469,1.250,994,,,47.5,127,141,6261,Producing,29.9,,,,,
03/10/2025,11:10:29 AM,Pfeiffer-Byrd #1,6469,1.250,,,,,,,,,,6.81,107.96,93.73,97.42,90.7
03/10/2025,11:23:56 AM,Pfeiffer-Byrd #1,6469,1.250,1012,,,-0.7,11,40,6402,Producing,43.8,,,,,
03/11/2025,11:40:39 AM,RAB #2,6500,1.500,1171,,,1321.9,2652,3251,3249,Producing,61.4,,,,,
03/11/2025,11:57:15 AM,RAB #3,7268,1.250,1067,,,28.0,15,70,7161,Producing,61.1,,,,,
03/10/2025,10:14:47 AM,Ruth #1,6273,1.250,1056,,,58.6,29,76,6161,Producing,9.0,,,,,
01/23/2025,10:07:15 AM,TJN Unit #1,5287,0.000,1159,,,574.0,246,246,5041,Producing,210.2,,,,,
01/27/2025,09:35:16 AM,TJN Unit #1,5287,0.000,1143,,,548.8,246,269,5018,Producing,55.8,,,,,
02/04/2025,10:01:27 AM,TJN Unit #1,6204,1.250,1071,,,,1433,1433,4637,Static,0.7,,,,,
02/05/2025,02:19:33 PM,TJN Unit #1,6204,1.250,1170,,,,1532,1532,4538,Static,0.3,,,,,
02/07/2025,09:26:22 AM,TJN Unit #1,6204,1.250,1055,,,490.4,1149,1541,4530,Producing,0.7,,,,,
02/07/2025,09:29:53 AM,TJN Unit #1,6204,1.250,,,,,,,,,,4.50,103.76,81.09,88.90,72.7
02/11/2025,02:37:07 PM,TJN Unit #1,6204,1.250,1052,,,536.4,1289,1727,4343,Producing,0.5,,,,,
02/11/2025,02:41:23 PM,TJN Unit #1,6204,1.250,,,,,,,,,,4.47,103.71,86.01,89.23,78.2
02/17/2025,10:16:36 AM,TJN Unit #1,6204,1.250,,,,,,,,,,4.47,103.65,88.93,90.95,80.9
02/17/2025,10:35:14 AM,TJN Unit #1,6204,1.250,1089,,,510.1,1214,1607,4463,Producing,11.4,,,,,
03/11/2025,09:45:21 AM,TJN Unit #1,6204,1.250,,,,,,,,,,6.42,104.43,69.41,91.05,54.8
03/11/2025,09:59:23 AM,TJN Unit #1,6204,1.250,1133,,,533.2,1344,2160,3911,Producing,39.2,,,,,

02/18/2025,01:39:44 PM,Aaron #1,6554,1.750,,,,,,,,,,6.84,125.14,29.93,98.19,24.2
02/18/2025,01:50:30 PM,Aaron #1,6554,1.750,1153,,,123.4,,,6625,Producing,18.2,,,,,
03/12/2025,12:58:38 PM,Beeler #16 RE,5394,1.500,,,,,,,,,,5.79,150.23,139.21,140.53,135.1
03/12/2025,01:22:19 PM,Beeler #16 RE,5394,1.500,1068,,,377.3,367,957,4437,Producing,16.0,,,,,
03/12/2025,01:32:41 PM,Beeler #17,7281,1.250,,,,,,,,,,5.79,58.54,41.81,43.22,29.0
03/12/2025,01:52:53 PM,Beeler #17,7281,1.250,1133,,,143.7,313,1367,5638,Producing,39.5,,,,,
03/13/2025,09:38:15 AM,Bruce Weaver #1,6845,1.250,1111,,,42.4,47,155,6631,Producing,31.1,,,,,
02/24/2025,11:48:05 AM,Bruce Weaver #2 RE,6368,1.500,1049,,,155.6,162,237,6053,Producing,20.1,,,,,
03/13/2025,10:02:41 AM,Bruce Weaver #2 RE,6368,1.500,1077,,,108.5,83,170,6136,Producing,25.1,,,,,
02/24/2025,01:59:26 PM,Burns Ranch #2,6510,1.250,,,,,,,,,,5.75,126.70,35.48,118.29,13.2
02/24/2025,02:17:44 PM,Burns Ranch #2,6510,1.250,1115,,,76.1,151,495,5926,Producing,49.2,,,,,
02/18/2025,03:12:31 PM,Cannan #1,6391,1.250,,,,,,,,,,4.94,110.69,90.62,104.04,79.2
02/18/2025,03:30:39 PM,Cannan #1,6391,1.250,998,,,549.4,378,498,5426,Producing,-10.8,,,,,
03/11/2025,02:31:47 PM,Chad #1,7038,1.250,1060,,,145.9,131,187,6780,Producing,10.9,,,,,
03/18/2025,11:53:46 AM,Chad #1,7038,1.250,1050,,,111.3,103,228,6735,Producing,9.9,,,,,
01/27/2025,10:03:59 AM,CMWW #1,6514,1.250,,,,,,,,,,6.89,100.80,29.84,92.70,11.3
01/27/2025,10:15:16 AM,CMWW #1,6514,1.250,1145,,,,0,0,6670,Static,61.3,,,,,
01/27/2025,11:08:14 AM,CT #1,6039,1.250,,,,,,,,,,5.22,123.91,28.09,117.95,19.5
01/27/2025,11:22:53 AM,CT #1,6039,1.250,1135,,,70.5,43,206,5833,Producing,41.4,,,,,
03/13/2025,01:55:03 PM,CT #1,6039,1.250,,,,,,,,,,5.60,123.45,29.35,115.84,21.6
03/13/2025,02:10:28 PM,CT #1,6039,1.250,1140,,,65.6,38,198,5841,Producing,44.4,,,,,
02/27/2025,11:02:33 AM,
02/27/2025,11:02:33 AM,Dale#1,7187,1.250,,,,,,,,,,6.49,70.08,50.16,72.79,0.1
02/27/2025,11:15:57 AM,
02/27/2025,11:15:57 AM,Dale#1,7187,1.250,1097,,,,176,176,6346,Static,-7.4,,,,,
03/13/2025,11:09:28 AM,Dale#1,7187,1.250,1137,,,,255,255,6266,Static,-5.4,,,,,
03/13/2025,10:51:15 AM,Dyess#1,6164,1.250,963,,93.8,93.8,53,70,6058,Producing,13.7,,,,,
03/11/2025,10:52:28 AM,Fatheree #1,6452,1.250,,,,,,,,,,5.72,98.61,81.82,87.71,73.0
03/11/2025,11:07:47 AM,Fatheree #1,6452,1.250,1099,,,75.6,71,286,6027,Producing,16.1,,,,,
03/13/2025,10:23:43 AM,Gail#1,6955,1.250,1095,,,86.8,64,107,6814,Producing,17.6,,,,,
02/27/2025,10:08:26 AM,JBeeler #1,6332,1.750,,,,,,,,,,7.17,113.26,65.03,92.06,59.4
02/27/2025,10:20:12 AM,JBeeler #1,6332,1.750,1206,,,260.1,334,1358,4974,Producing,38.7,,,,,
02/17/2025,12:46:57 PM,JJ #1,6498,1.500,,,,,,,,,,5.62,143.64,118.79,123.38,114.9
02/17/2025,01:00:10 PM,JJ #1,6498,1.500,1271,,,290.1,365,1306,5191,Producing,38.8,,,,,
02/25/2025,02:23:19 PM,Kay#1,6043,1.250,,,,,,,,,,5.01,70.64,42.44,64.64,31.1
02/25/2025,02:38:18 PM,Kay#1,6043,1.250,1122,,,258.2,66,293,5750,Producing,22.0,,,,,
03/10/2025,08:53:33 AM,La Rosita #1 RE,5847,1.250,,,,,,,,,,6.63,121.29,30.85,117.91,24.0
03/10/2025,09:16:43 AM,La Rosita #1 RE,5847,1.250,891,,,660.2,1237,1747,4067,Producing,9.2,,,,,
02/04/2025,01:58:30 PM,Little 179 #1,6055,1.250,1016,,,477.5,986,1486,4451,Producing,-33.7,,,,,
02/04/2025,02:02:44 PM,Little 179 #1,6055,1.250,,,,,,,,,,6.32,121.06,35.42,123.42,0.1
03/11/2025,02:49:25 PM,Marguerite #1,6188,1.060,,,,,,,,,,5.46,84.90,13.23,83.52,-2.9
03/11/2025,03:06:32 PM,Marguerite #1,6188,1.060,1026,,,196.7,342,463,5667,Producing,24.4,,,,,
03/10/2025,02:00:27 PM,MDB #1,6390,1.250,,,,,,,,,,5.09,125.29,55.57,120.61,47.3
03/10/2025,02:17:57 PM,MDB #1,6390,1.250,943,,,-16.0,2,2,6354,Producing,11.5,,,,,
02/17/2025,02:20:10 PM,Pfeiffer-Byrd #1,6469,1.250,994,,,47.5,127,141,6261,Producing,29.9,,,,,
03/10/2025,11:10:29 AM,Pfeiffer-Byrd #1,6469,1.250,,,,,,,,,,6.81,107.96,93.73,97.42,90.7
03/10/2025,11:23:56 AM,Pfeiffer-Byrd #1,6469,1.250,1012,,,-0.7,11,40,6402,Producing,43.8,,,,,
03/11/2025,11:40:39 AM,RAB #2,6500,1.500,1171,,,1321.9,2652,3251,3249,Producing,61.4,,,,,
03/11/2025,11:57:15 AM,RAB #3,7268,1.250,1067,,,28.0,15,70,7161,Producing,61.1,,,,,
03/10/2025,10:14:47 AM,Ruth #1,6273,1.250,1056,,,58.6,29,76,6161,Producing,9.0,,,,,
01/02/2025,10:14:46 AM,Sugar Ranch #1,6120,1.750,,,,,,,,,,6.85,139.21,123.35,138.44,91.1
01/02/2025,10:27:36 AM,Sugar Ranch #1,6120,1.750,1190,,,,2425,2425,3695,Static,532.7,,,,,
03/21/2025,10:30:24 AM,Sugar Ranch #1,5704,2.250,1190,,,1001.2,1805,2369,3334,Producing,14.4,,,,,
03/13/2025,02:38:00 PM,Thalmann #1 RE,4917,1.500,,,,,,,,,,5.80,123.90,48.13,116.18,15.0
03/13/2025,03:02:43 PM,Thalmann #1 RE,4917,1.500,1030,,,365.2,205,479,4438,Producing,17.6,,,,,
01/23/2025,10:07:15 AM,TJN Unit #1,5287,0.000,1159,,,574.0,246,246,5041,Producing,210.2,,,,,
01/27/2025,09:35:16 AM,TJN Unit #1,5287,0.000,1143,,,548.8,246,269,5018,Producing,55.8,,,,,
02/04/2025,10:01:27 AM,TJN Unit #1,6204,1.250,1071,,,,1433,1433,4637,Static,0.7,,,,,
02/05/2025,02:19:33 PM,TJN Unit #1,6204,1.250,1170,,,,1532,1532,4538,Static,0.3,,,,,
02/07/2025,09:26:22 AM,TJN Unit #1,6204,1.250,1055,,,490.4,1149,1541,4530,Producing,0.7,,,,,
02/07/2025,09:29:53 AM,TJN Unit #1,6204,1.250,,,,,,,,,,4.50,103.76,81.09,88.90,72.7
02/11/2025,02:37:07 PM,TJN Unit #1,6204,1.250,1052,,,536.4,1289,1727,4343,Producing,0.5,,,,,
02/11/2025,02:41:23 PM,TJN Unit #1,6204,1.250,,,,,,,,,,4.47,103.71,86.01,89.23,78.2
02/17/2025,10:16:36 AM,TJN Unit #1,6204,1.250,,,,,,,,,,4.47,103.65,88.93,90.95,80.9
02/17/2025,10:35:14 AM,TJN Unit #1,6204,1.250,1089,,,510.1,1214,1607,4463,Producing,11.4,,,,,
03/11/2025,09:45:21 AM,TJN Unit #1,6204,1.250,,,,,,,,,,6.42,104.43,69.41,91.05,54.8
03/11/2025,09:59:23 AM,TJN Unit #1,6204,1.250,1133,,,533.2,1344,2160,3911,Producing,39.2,,,,,
